config,solveur,params,statut,obj_solver,util_recalc,volume,temps_s,n_noeuds,items_nz
C0_baseline,CBC,,OPTIMAL,125942.0,125942,125992,0.062431,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C1_gap_zero,CBC,allowableGap 0 ratioGap 0,OPTIMAL,125942.0,125942,125992,0.057587,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C2_inttol_serre,CBC,integerTolerance 1e-12,OPTIMAL,125942.0,125942,125992,0.062172,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C3_sans_heuristiques,CBC,heuristicsOnOff off,OPTIMAL,125942.0,125942,125992,0.061660,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C4_sans_coupes,CBC,cutsOnOff off,OPTIMAL,125942.0,125942,125992,0.059827,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C5_sans_presolveur,CBC,preprocess off,OPTIMAL,125942.0,125942,125992,0.064975,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C6_tout_brut,CBC,allowableGap 0 ratioGap 0 integerTolerance 1e-12 cutsOnOff off heuristicsOnOff off preprocess off,OPTIMAL,125942.0,125942,125992,0.057717,16730,x1=1; x3=4; x14=3; x15=1; x19=1
C7_SCIP,SCIP,,OPTIMAL,125944.0,125944,125989,0.040732,62,x3=3; x4=3; x5=1; x7=2
C8_BOP,BOP,,OPTIMAL,125944.0,125944,125994,0.011911,-1,x8=8; x14=1; x18=1
